DEVICE,Tester Type,Tester Config,Handler,Handler Config,Temperature,LogPoint,PPH
TPA3119D2RHBR,VLCT-X1,VLCT-X1,,,,,3071
TPA3131D2RHBR,VLCT-X1,VLCT-X1,,,,,2001
TPA3131D2RHBT,VLCT-X1,VLCT-X1,,,,,2001
TPA3132D2RHBR,VLCT-X1,VLCT-X1,,,,,1767
TPA3132D2RHBT,VLCT-X1,VLCT-X1,,,,,1767
TPA6040A4RHBR,EAGLE,EAGLE,,,,,2060
TPA6041A4RHBR,EAGLE,EAGLE,,,,,2103
TPA6043A4RHBR,EAGLE,EAGLE,,,,,1416
TPA6045A4CRHBR,EAGLE,EAGLE,,,,,1875
TPA6047A4RHBR,EAGLE,EAGLE,,,,,1400
TPA6130A2RTJR,EAGLE,EAGLE,,,,,2176
TPA6130A2RTJT,EAGLE,EAGLE,,,,,2176
TPA6132A2RTER,EAGLE,EAGLE,,,,,4065
TPA6132A2RTET,EAGLE,EAGLE,,,,,4065
TPA6133A2RTJR,EAGLE,EAGLE,,,,,1729
TPA6133A2RTJT,EAGLE,EAGLE,,,,,1729
TPA6135A2RTER,EAGLE,EAGLE,,,,,1586
TPA6135A2RTET,EAGLE,EAGLE,,,,,1586
TPA6139A2RGTR,VLCT-X1,VLCT-X1,,,,,3217
TPA6139A2RGTT,VLCT-X1,VLCT-X1,,,,,3217
TPA6201A1DRB,EAGLE,EAGLE,,,,,6064
TPA6201A1DRBR,EAGLE,EAGLE,,,,,6064
TPA6203A1DRB,EAGLE,EAGLE,,,,,5540
TPA6203A1DRBR,EAGLE,EAGLE,,,,,5881
TPA6204A1DRB,EAGLE,EAGLE,,,,,6228
TPA6204A1DRBR,EAGLE,EAGLE,,,,,6228
TPA6205A1DRBR,EAGLE,EAGLE,,,,,6003
TPA6205A1DRBT,EAGLE,EAGLE,,,,,6003
TPA6211A1DRB,EAGLE,EAGLE,,,,,5471
TPA6211A1DRBR,EAGLE,EAGLE,,,,,5471
TPS2002CDRCR,EAGLE,EAGLE,,,,,5598
TPS2002CDRCT,EAGLE,EAGLE,,,,,5598
TPS2003CDRCR,EAGLE,EAGLE,,,,,5512
TPS2003CDRCT,EAGLE,EAGLE,,,,,5512
TPS2062ADRBR,EAGLE,EAGLE,,,,,3330
TPS2062CDRBR-2,EAGLE,EAGLE,,,,,3437
TPS2062CDRBT-2,EAGLE,EAGLE,,,,,3437
TPS2231MRGPR,EAGLE,EAGLE,,,,,5308
TPS2231MRGPR-1,EAGLE,EAGLE,,,,,5326
TPS2231MRGPR-2,EAGLE,EAGLE,,,,,5308
TPS2231MRGPR-3,EAGLE,EAGLE,,,,,5308
TPS2231MRGPT,EAGLE,EAGLE,,,,,5308
TPS2231MRGPT-1,EAGLE,EAGLE,,,,,5579
TPS2231MRGPT-2,EAGLE,EAGLE,,,,,5308
TPS2231MRGPT-3,EAGLE,EAGLE,,,,,5308
TPS2231RGPR,EAGLE,EAGLE,,,,,5308
TPS2231RGPT,EAGLE,EAGLE,,,,,5308
TPS22965DSGR,VLCT-X1,VLCT-X1,,,,,49173
TPS22965DSGT,VLCT-X1,VLCT-X1,,,,,49173
TPS22965TDSGRQ1,VLCT-X1,VLCT-X1,,,,,46131
TPS22966DPUR,VLCT-X1,VLCT-X1,,,,,30403
TPS22966DPUT,VLCT-X1,VLCT-X1,,,,,30403
TPS22966TDPURQ1,VLCT-X1,VLCT-X1,,,,,21740
TPS22966TDPUTQ1,VLCT-X1,VLCT-X1,,,,,21740
TPS22967DSGR,VLCT-X1,VLCT-X1,,,,,48159
TPS22967DSGT,VLCT-X1,VLCT-X1,,,,,48159
TPS22968DPUR,VLCT-X1,VLCT-X1,,,,,20630
TPS22980RGPR,EAGLE,EAGLE,,,,,10059
TPS22981RGPR,EAGLE,EAGLE,,,,,7321
TPS22993PRLWR,VLCT-X1,VLCT-X1,,,,,13303
TPS22993PRLWT,VLCT-X1,VLCT-X1,,,,,13303
TPS22993RLWR,VLCT-X1,VLCT-X1,,,,,12765
TPS2388RTQR,EAGLE,EAGLE,,,,,1250
TPS2420RSAR,EAGLE,EAGLE,,,,,1837
TPS2420RSAT,EAGLE,EAGLE,,,,,1837
TPS2456ARHHR,EAGLE,EAGLE,,,,,2170
TPS2456RHHR,EAGLE,EAGLE,,,,,759
