 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA3 , ETS-0-64 , 3X3 , 6512302B                                      , 6512302B , 10 , 102012 , 0 , 45.79 , STD   , DRBST300      , 124508.8 , 0 , 2294 , 0 , 0 , 0.02 , 0 , 0.02 
 CLFTEA3 , ETS-0-64 , 2X2 , 6512302B                                      , 6506370A , 1 , 12231 , 1 , 1.10 , STRIP , DSGST         , 282624 , 0 , 48095 , 0 , 0 , 0.17 , 0 , 0.17 
 CLFTEA30 , ETS-2-64 , 7X5 , 6514558B                                      , 6514558B , 40 , 127680 , 0 , 47.75 , STD   , RGFMCM300     , 64242.3 , 0 , 84001 , 0 , 0 , 1.31 , 0 , 1.31 
 CLFTEA31 , ETS-2-64 , 3.5X3.5 , 6512615D                                      , 6512615D , 13 , 158059 , 0 , 47.92 , STD   , RGR300        , 81404.7 , 0 , 294209 , 0 , 0 , 3.61 , 0 , 3.61 
 CLFTEA32 , ETS-2-128 , 4.5X3.5 ,NULL, 6515575A , 5 , 38984 , 1 , 17.61 , STD   , RHL           , 53127.72 , 0 , 38984 , 0 , 0 , 0.73 , 0 , 0.73 
 CLFTEA32 , ETS-2-128 , 4.5X3.5 ,NULL, 6578688B , 11 , 73746 , 2 , 17.10 , STD   , DPC           , 103367.71 , 0 , 73256 , 0 , 0 , 0.71 , 0 , 0.71 
 CLFTEA32 , ETS-2-128 , 6X5 ,NULL, 6514494A , 7 , 35431 , 3 , 12.95 , CLIP  , DQPCLIP       , 65369.74 , 0 , 2171 , 0 , 0 , 0.03 , 0 , 0.03 
 CLFTEA33 , ETS-2-64 , 5X5 , 6518677A                                      , 6518677A , 4 , 25838 , 0 , 11.30 , STD   , RSB           , 56242.44 , 0 , 33619 , 0 , 0 , 0.6 , 0 , 0.6 
 CLFTEA33 , ETS-2-64 , 4X4 , 6518677A                                      , 6571495A , 10 , 92612 , 1 , 36.49 , STD   , RUY300        , 60991 , 0 , 984609 , 0 , 0 , 16.14 , 0 , 16.14 
 CLFTEA34 , ETS-2-64 , 3X3 , 6569094B                                      , 6542741A , 16 , 211420 , 1 , 47.37 , STRIP , RGTST         , 86996.75 , 0 , 11407 , 0 , 0 , 0.13 , 0 , 0.13 
 CLFTEA35 , ETS-2-64 , 3X3 , 6524040A                                      , 6524040A , 10 , 129351 , 0 , 47.56 , STD   , RTE300        , 97133.16 , 0 , 122557 , 0 , 0 , 1.26 , 0 , 1.26 
 CLFTEA36 , ETS-2-64 , 7X7 , 6570774A                                      , 6570774A , 12 , 58826 , 0 , 47.38 , STD   , RSH           , 27573.29 , 0 , 72584 , 0 , 0 , 2.63 , 0 , 2.63 
 CLFTEA37 , ETS-2-128 , 3X3 , 6546196A                                      , 6546196A , 45 , 538194 , 0 , 46.95 , STRIP , RTE300ST      , 275500.52 , 0 , 530978 , 0 , 0 , 1.93 , 0 , 1.93 
 CLFTEA38 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 14 , 130353 , 0 , 47.79 , STD   , RGELLF        , 65501.44 , 0 , 132367 , 0 , 0 , 2.02 , 0 , 2.02 
 CLFTEA39 , ETS-2-64 , 7X5 , 6522503A                                      , 6522503A , 14 , 45176 , 0 , 15.67 , CLIP  , RVFCLIP       , 70633.99 , 0 , 10964 , 0 , 0 , 0.16 , 0 , 0.16 
 CLFTEA39 , ETS-2-64 , 6X6 , 6522503A                                      , 6517701E , 8 , 37610 , 1 , 31.71 , STD   , RSL300        , 28460.1 , 0 , 32638 , 0 , 0 , 1.15 , 0 , 1.15 
 CLFTEA40 , ETM-4-128 , 4X4 , 6556725A                                      , 6556725A , 6 , 59858 , 0 , 44.81 , STD   , RGE300LLF     , 32052.94 , 0 , 127668 , 0 , 0 , 3.98 , 0 , 3.98 
 CLFTEA40 , ETM-4-128 , 4X4 , 6556725A                                      , 6529675B , 1 , 10059 , 1 , 3.11 , STD   , RGV           , 77608.91 , 0 , 301624 , 0 , 0 , 3.89 , 0 , 3.89 
 CLFTEA41 , ETS-2-64 , 3X3 , 6516230D                                      , 6516230D , 5 , 58688 , 0 , 46.95 , STD   , DRCLLF        , 99263.5 , 0 , 359896 , 0 , 0 , 3.63 , 0 , 3.63 
 CLFTEA42 , ETS-2-64 , 4X4 , 6512615D                                      , 6508600B , 1 , 8317 , 1 , 3.22 , STD   , RTJ           , 62012.88 , 0 , 8317 , 0 , 0 , 0.13 , 0 , 0.13 
 CLFTEA42 , ETS-2-64 , 3X3 , 6512615D                                      , 6527607B , 17 , 168601 , 2 , 44.16 , STD   , RGT300        , 104537.39 , 0 , 317717 , 0 , 0 , 3.04 , 0 , 3.04 
 CLFTEA43 , ETS-2-64 , 5X5 , 6471369E                                      , 6471369E , 9 , 58504 , 0 , 46.81 , STD   , RGW           , 40960.82 , 0 , 298470 , 0 , 0 , 7.29 , 0 , 7.29 
 CLFTEA44 , ETS-2M-64 , 4.0X3.5 ,NULL, 6520958B , 14 , 81695 , 1 , 47.67 , STD   , RGB300        , 39398.4 , 0 , 208866 , 0 , 0 , 5.3 , 0 , 5.3 
