actual_tester_index,tester_index,tester_config,loadboard_type,setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 7:48:52,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 14:55:29,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 21:59:22,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 4:22:44,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 10:57:28,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 18:8:14,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 1:11:14,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 6:16:40,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 13:7:50,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 20:16:53,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 9:9:9,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 16:23:15,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 23:24:54,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 4:59:43,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 11:22:10,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 18:30:11,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/11/2015 1:36:51,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 7:21:26,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 14:34:32,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 21:39:9,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 3:52:29,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 9:35:18,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 16:43:5,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 23:48:0,24,,,N,10/09/2015 04:17:45
,25,ETS-2-64,Q24296MRGER-G2,,10/09/2015 12:03:23,25,,,Y,10/09/2015 02:06:09
,25,ETS-2-64,BQ24196RGER-RY,setup change,10/9/2015 22:12:8,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,BQ24196RGER-RY,,10/10/2015 10:30:27,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,Q24296MRGER-G2,setup change,10/10/2015 21:24:12,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,BQ24196RGER-RY,setup change,10/10/2015 1:44:56,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,BQ24196RGER-RY,,10/10/2015 13:43:45,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,BQ24196RGER-RY,,10/9/2015 15:49:29,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,BQ24196RGER-RY,,10/10/2015 5:20:29,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,BQ24196RGER-RY,,10/10/2015 15:50:15,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,BQ24196RGER-RY,,10/9/2015 18:33:24,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,BQ24196RGER-RY,,10/10/2015 7:11:24,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,Q24296MRGER-G2,setup change,10/10/2015 17:57:58,25,,,N,10/09/2015 15:44:31
,25,ETS-2-64,Q24296MRGER-G2,,10/11/2015 1:11:3,25,,,N,10/11/2015 01:06:04
,26,ETS-2-64,D74110RVFR2-LN,,10/9/2015 8:34:57,26,,,N,10/09/2015 02:06:09
