ID,PKG Name,PKG_penalty
1,3X3,111229
205,51980RTVR1-G2K,5X5,0
206,PS54320RHLR-G2,3.5X3.5,0
207,S53623RSMR-G2K,4X4,0
208,PS2560DRCR1-G2,3X3,0
209,N1107017RHLR-L,3.5X3.5,0
210,TPS53311RGTR-L,3X3,0
211,24735RGRR1-G2K,3.5X3.5,0
212,S62140ARGTR-LY,3X3,0
213,FE030AIRGZR-CK,7X7,0
214,TPS2561DRCR1-L,3X3,0
215,1108026RHDR1-R,5X5,0
216,Q24075RGTR-G2Y,3X3,0
217,406035RGER-G2Y,4X4,0
218,PS2561ADRCR-G2,3X3,0
219,S62130DRGTR-LY,3X3,0
220,PS51311RGTR1-L,3X3,0
221,PS62140RGTR-LY,3X3,0
222,PS62150RGTR-LY,3X3,0
223,S65283RGER-G2Y,4X4,0
224,62085RLTR6-LN#,2X2,0
225,61MRGER1-U8QR&,4X4,0
226,192HRGER-UG2R&,4X4,0
227,20QDSJRQ1-URR&,4X3,0
228,PS51124RGER-UN,4X4,0
229,PS40041DRBR-B,3X3,0
230,1640ARSLR1-G2K,6X6,0
231,BQ24193RGER-RY,4X4,0
232,Q24261MRGER1-8,4X4,0
233,S544B20RVFT-LN,dummy_pkg,-100
234,S65175ARSHR-UN,dummy_pkg,-100
235,Q25890HRTWR-G2,dummy_pkg,-100
236,S65175RSHR2-UN,dummy_pkg,-100
237,PS63030DSKR-CK,dummy_pkg,-100
238,PS7A4700RGWR-R,dummy_pkg,-100
239,304056RSBR-G2K,dummy_pkg,-100
240,603V1RUNR-G2N#,dummy_pkg,-100
241,PS65132WRVCR-R,dummy_pkg,-100
