Machine_Instance_ID,Machine_Family_ID,Machine_Instance_Name,Lot_ID,Lot_Name,Quantity,Lot_Weight,Device ID,Device_Name,Route_ID,Tooling_Family_ID,Tooling_Family_Name,Certification,Value
17,2,CLFTEA24,269,5956847,13778,1647,91,592ALDRCR1-G2K,273,311,6547181A,1,1
17,2,CLFTEA24,528,5967541,13802,1335,91,592ALDRCR1-G2K,273,311,6547181A,1,1
17,2,CLFTEA24,529,5967540,13762,1335,91,592ALDRCR1-G2K,273,311,6547181A,1,1
17,2,CLFTEA24,530,5967542,13786,1335,91,592ALDRCR1-G2K,273,311,6547181A,1,1
17,2,CLFTEA24,531,5967548,11487,1335,91,592ALDRCR1-G2K,273,311,6547181A,1,1
17,2,CLFTEA24,533,5967545,13786,1335,91,592ALDRCR1-G2K,273,311,6547181A,1,1
17,2,CLFTEA24,535,5967547,13784,1335,91,592ALDRCR1-G2K,273,311,6547181A,1,1
18,2,CLFTEA25,810,5974073,10071,1146,156,24780SRUYR-G2K,99,385,6571495A,1,1
18,2,CLFTEA25,811,5974066,10061,1146,156,24780SRUYR-G2K,99,385,6571495A,1,1
18,2,CLFTEA25,812,5974072,10037,1146,156,24780SRUYR-G2K,99,385,6571495A,1,1
18,2,CLFTEA25,839,5974065,10069,1146,156,24780SRUYR-G2K,99,385,6571495A,1,1
18,2,CLFTEA25,860,5974070,10069,1146,156,24780SRUYR-G2K,99,385,6571495A,1,1
18,2,CLFTEA25,1204,5980161,10061,960,156,24780SRUYR-G2K,99,385,6571495A,1,1
18,2,CLFTEA25,1239,5981410,10058,926,156,24780SRUYR-G2K,99,385,6571495A,1,1
18,2,CLFTEA25,1250,5981409,10058,926,156,24780SRUYR-G2K,99,385,6571495A,1,1
18,2,CLFTEA25,358,5964087,10073,1439,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,360,5964085,8004,1439,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,361,5964083,10062,1439,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,370,5964084,10044,1439,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,477,5967155,9989,1343,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,640,5970650,9980,1238,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,641,5970654,10053,1238,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,660,5970657,9981,1238,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,662,5970656,10071,1238,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
18,2,CLFTEA25,665,5970646,10043,1238,109,SN2850RUYR-G2K,1269,385,6571495A,1,1
19,2,CLFTEA26,537,5969321,4234,1324,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,888,5976287,7729,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,889,5976291,7728,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,890,5993121,7791,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,891,5976267,3861,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,892,5993120,5998,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,893,5976270,7771,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,894,5976278,7789,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,895,5976290,7839,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,896,5976277,7703,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,897,5976283,7684,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,898,5976281,7666,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,899,5976284,7802,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
