LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE,,
5582201,24780SRUYR-G2K,RUY300       ,28,10062,9.45,5582201,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582216,24780SRUYR-G2K,RUY300       ,28,10039,9.45,5582216,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582204,24780SRUYR-G2K,RUY300       ,28,10063,9.45,5582204,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582214,24780SRUYR-G2K,RUY300       ,28,10067,9.45,5582214,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582215,24780SRUYR-G2K,RUY300       ,28,10050,9.45,5582215,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582202,24780SRUYR-G2K,RUY300       ,28,10071,9.45,5582202,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582209,24780SRUYR-G2K,RUY300       ,28,10054,9.45,5582209,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582203,24780SRUYR-G2K,RUY300       ,28,10059,9.45,5582203,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582217,24780SRUYR-G2K,RUY300       ,28,10065,9.45,5582217,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5548410,2543QRTERQ1-G2,RTE300       ,16,13770,19.67,5548410,4410,1,16.59,14.52,18.15,                   ,6/29/2015 2:06,,,
5546081,2543QRTERQ1-G2,RTE300       ,16,6698,20.34,5546081,4410,1,16.59,14.52,18.81,                   ,6/29/2015 2:06,,,
5546075,2543QRTERQ1-G2,RTE300       ,16,13574,20.34,5546075,4410,1,16.59,14.52,18.81,6/29/2015 12:54,6/29/2015 2:06,CLFTEA84,,
5554912,2543QRTERQ1-G2,RTE300       ,16,13717,17.69,5554912,4410,1,16.59,14.52,16.16,                   ,6/29/2015 2:06,,,
5548411,2543QRTERQ1-G2,RTE300       ,16,7228,19.67,5548411,4410,1,16.59,14.52,18.15,                   ,6/29/2015 2:06,,,
5548407,2543QRTERQ1-G2,RTE300       ,16,13691,19.67,5548407,4410,1,16.59,14.52,18.15,                   ,6/29/2015 2:06,,,
